fromGeneId	fromSymbol	toGeneId	toSymbol	best	bestReverse	methodCount	totalMethodCount
HGNC:18149	A4GALT	FB:FBgn0031491	α4GT1	Yes	Yes	9	9
HGNC:18149	A4GALT	FB:FBgn0039378	α4GT2	Yes	Yes	9	9
HGNC:17968	A4GNT	FB:FBgn0031491	α4GT1	Yes	Yes	9	9
HGNC:17968	A4GNT	FB:FBgn0039378	α4GT2	Yes	Yes	9	9
HGNC:13666	AAAS	FB:FBgn0030122	Aladin	Yes	Yes	6	9
HGNC:13666	AAAS	FB:FBgn0032188	CG13137	No	Yes	4	9
HGNC:17929	AADAT	FB:FBgn0036117	CG6321	Yes	Yes	3	9
HGNC:25662	AAGAB	FB:FBgn0052109	CG32109	Yes	Yes	4	9
HGNC:19679	AAK1	FB:FBgn0015772	Nak	Yes	Yes	8	9
HGNC:18	AAMP	FB:FBgn0036460	CG5114	Yes	Yes	9	9
HGNC:15886	AAR2	FB:FBgn0038590	CG12320	Yes	Yes	9	9
HGNC:20	AARS1	FB:FBgn0027094	AlaRS	Yes	Yes	9	9
HGNC:21022	AARS2	FB:FBgn0028962	AlaRS-m	Yes	Yes	4	9
HGNC:28417	AARSD1	FB:FBgn0029664	CG10802	Yes	Yes	9	9
HGNC:23993	AASDH	FB:FBgn0027780	Aasdh	Yes	Yes	9	9
HGNC:14235	AASDHPPT	FB:FBgn0052099	CG32099	Yes	Yes	9	9
HGNC:17366	AASS	FB:FBgn0286198	LKRSDH	Yes	Yes	9	9
HGNC:19235	AATF	FB:FBgn0031851	Aatf	Yes	Yes	7	9
HGNC:23	ABAT	FB:FBgn0036927	Gabat	Yes	Yes	9	9
HGNC:14637	ABCA12	FB:FBgn0083956	ldd	Yes	Yes	4	9
HGNC:14638	ABCA13	FB:FBgn0031169	CG1494	Yes	Yes	2	9
HGNC:14638	ABCA13	FB:FBgn0031171	CG1801	Yes	Yes	2	9
HGNC:14638	ABCA13	FB:FBgn0051213	CG31213	Yes	Yes	2	9
HGNC:14638	ABCA13	FB:FBgn0261998	CG42816	Yes	Yes	2	9
HGNC:14638	ABCA13	FB:FBgn0263747	CG43672	Yes	Yes	2	9
HGNC:14638	ABCA13	FB:FBgn0034493	CG8908	Yes	Yes	2	9
HGNC:14638	ABCA13	FB:FBgn0028539	Eato	Yes	Yes	2	9
HGNC:33	ABCA3	FB:FBgn0031170	Abca3	Yes	Yes	7	9
HGNC:33	ABCA3	FB:FBgn0036747	CG6052	Yes	Yes	7	9
HGNC:40	ABCB1	FB:FBgn0035695	CG10226	No	Yes	3	9
HGNC:40	ABCB1	FB:FBgn0004512	Mdr49	No	Yes	4	9
HGNC:40	ABCB1	FB:FBgn0010241	Mdr50	Yes	Yes	7	9
HGNC:40	ABCB1	FB:FBgn0004513	Mdr65	No	Yes	3	9
HGNC:41	ABCB10	FB:FBgn0023536	CG3156	Yes	Yes	9	9
HGNC:42	ABCB11	FB:FBgn0010241	Mdr50	Yes	No	6	9
HGNC:45	ABCB4	FB:FBgn0035695	CG10226	No	Yes	3	9
HGNC:45	ABCB4	FB:FBgn0004512	Mdr49	No	Yes	4	9
HGNC:45	ABCB4	FB:FBgn0010241	Mdr50	Yes	Yes	7	9
HGNC:45	ABCB4	FB:FBgn0004513	Mdr65	No	Yes	3	9
HGNC:46	ABCB5	FB:FBgn0035695	CG10226	No	Yes	3	9
HGNC:46	ABCB5	FB:FBgn0004512	Mdr49	No	Yes	4	9
HGNC:46	ABCB5	FB:FBgn0010241	Mdr50	Yes	Yes	7	9
HGNC:46	ABCB5	FB:FBgn0004513	Mdr65	No	Yes	3	9
HGNC:47	ABCB6	FB:FBgn0038376	Hmt-1	Yes	Yes	9	9
HGNC:48	ABCB7	FB:FBgn0035244	ABCB7	Yes	Yes	9	9
HGNC:49	ABCB8	FB:FBgn0030403	CG1824	Yes	Yes	9	9
HGNC:51	ABCC1	FB:FBgn0032456	MRP	Yes	Yes	8	9
HGNC:52	ABCC10	FB:FBgn0032018	CG7806	Yes	Yes	9	9
HGNC:53	ABCC2	FB:FBgn0032456	MRP	Yes	No	3	9
HGNC:54	ABCC3	FB:FBgn0032456	MRP	Yes	No	6	9
HGNC:55	ABCC4	FB:FBgn0039207	Cftr	No	Yes	4	9
HGNC:55	ABCC4	FB:FBgn0034612	CG10505	No	Yes	3	9
HGNC:55	ABCC4	FB:FBgn0039645	CG11898	No	Yes	4	9
HGNC:55	ABCC4	FB:FBgn0051792	CG31792	Yes	Yes	8	9
HGNC:55	ABCC4	FB:FBgn0051793	CG31793	No	Yes	7	9
HGNC:55	ABCC4	FB:FBgn0032026	CG7627	Yes	Yes	8	9
HGNC:55	ABCC4	FB:FBgn0032908	CG9270	No	Yes	7	9
HGNC:55	ABCC4	FB:FBgn0010549	l(2)03659	Yes	Yes	8	9
HGNC:55	ABCC4	FB:FBgn0263316	Mrp4	Yes	Yes	8	9
HGNC:55	ABCC4	FB:FBgn0038740	Mrp5	Yes	Yes	8	9
HGNC:55	ABCC4	FB:FBgn0039644	rdog	No	Yes	4	9
HGNC:59	ABCC8	FB:FBgn0028675	Sur	Yes	Yes	3	9
HGNC:60	ABCC9	FB:FBgn0028675	Sur	Yes	Yes	3	9
